severity,sheet_name,source_row,record_type,title,message
info,Officer Hukum Korporasi,9,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Hukum Korporasi,10,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Hukum Korporasi,11,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Hukum Korporasi,12,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Hukum Korporasi,13,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Hukum Korporasi,14,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Hukum Korporasi,15,kai,Jumlah tinjauan dokumen hukum eksternal yang dilakukan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Hukum Korporasi,16,kai,Persentase Pelaksanaan Monitoring dan Evaluasi Kepatuhan Hukum,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Hukum Korporasi,17,kai,Persentase penyelesaian tindak lanjut temuan audit internal,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Hukum Korporasi,18,kai,Analisis dan penyusunan pendapat hukum oleh Group Hukum,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Hukum Korporasi,19,kai,Realisasi pemeriksaan kepatuhan hukum,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Hukum Korporasi,20,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Hukum Korporasi,21,kai,Jumlah Program Strategis yang Mendapatkan Pendampingan Hukum secara Internal,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Hukum Korporasi,22,kai,Persentase Penyelesaian Program Pengembangan Kompetensi Hukum,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Hukum Korporasi,23,kai,Persentase Penyelesaian Analisis Kebutuhan Digitalisasi Hukum,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Hukum Komersial,9,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Hukum Komersial,10,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Hukum Komersial,11,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Hukum Komersial,12,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Hukum Komersial,13,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Hukum Komersial,14,kai,Persentase dari Dokumen Hukum terkait Pengembangan Ekosistem BMTH yang direview oleh Group Hukum,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Hukum Komersial,15,kai,Jumlah tinjauan dokumen hukum eksternal yang dilakukan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Hukum Komersial,16,kai,Analisis dan penyusunan pendapat hukum oleh Group Hukum,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Hukum Komersial,17,kai,Realisasi pemeriksaan kepatuhan hukum,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Hukum Komersial,18,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Hukum Komersial,19,kai,Jumlah Program Strategis yang Mendapatkan Pendampingan Hukum secara Internal,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Hukum Komersial,20,kai,Persentase penyelesaian tindak lanjut temuan audit internal,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Hukum Komersial,21,kai,Persentase Penyelesaian Analisis Kebutuhan Digitalisasi Hukum,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Litigasi,9,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Litigasi,10,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Litigasi,11,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Litigasi,12,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Litigasi,13,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Litigasi,14,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Litigasi,15,kai,Persentase penanganan perkara secara internal,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Litigasi,16,kai,Upaya litigasi dan non litigasi Penyelamatan Aset Perusahaan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Litigasi,17,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Litigasi,18,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Litigasi,19,kai,Persentase penyelesaian tindak lanjut temuan audit internal,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Litigasi,20,kai,Persentase Penyelesaian Analisis Kebutuhan Digitalisasi Hukum,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Hukum Korporasi,9,kai,Optimalisasi Penggunaan In-House Lawyer Pelindo untuk Melaksanakan Pendampingan Hukum kepada Unit Kerja,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Hukum Korporasi,10,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Hukum Korporasi,11,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Hukum Korporasi,12,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Hukum Korporasi,13,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Hukum Korporasi,14,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Hukum Korporasi,15,kai,Jumlah tinjauan dokumen hukum eksternal yang dilakukan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Hukum Korporasi,16,kai,Persentase Pelaksanaan Monitoring dan Evaluasi Kepatuhan Hukum,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Hukum Korporasi,17,kai,Analisis dan penyusunan pendapat hukum oleh Group Hukum,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Hukum Korporasi,18,kai,Realisasi pemeriksaan kepatuhan hukum,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Hukum Korporasi,19,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Hukum Korporasi,20,kai,Jumlah Program Strategis yang Mendapatkan Pendampingan Hukum secara Internal,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Hukum Korporasi,21,kai,Persentase Penyelesaian Program Pengembangan Kompetensi Hukum,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Hukum Korporasi,22,kai,Persentase penyelesaian tindak lanjut temuan audit internal,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Hukum Korporasi,23,kai,Persentase Penyelesaian Analisis Kebutuhan Digitalisasi Hukum,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Hukum Komersial,9,kai,Optimalisasi Penggunaan In-House Lawyer Pelindo untuk Melaksanakan Pendampingan Hukum kepada Unit Kerja,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Hukum Komersial,10,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Hukum Komersial,11,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Hukum Komersial,12,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Hukum Komersial,13,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Hukum Komersial,14,kai,Persentase dari Dokumen Hukum terkait Pengembangan Ekosistem BMTH yang direview oleh Group Hukum,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Hukum Komersial,15,kai,Jumlah tinjauan dokumen hukum eksternal yang dilakukan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Hukum Komersial,16,kai,Analisis dan penyusunan pendapat hukum oleh Group Hukum,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Hukum Komersial,17,kai,Realisasi pemeriksaan kepatuhan hukum,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Hukum Komersial,18,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Hukum Komersial,19,kai,Jumlah Program Strategis yang Mendapatkan Pendampingan Hukum secara Internal,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Hukum Komersial,20,kai,Persentase penyelesaian tindak lanjut temuan audit internal,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
