severity,sheet_name,source_row,record_type,title,message
info,Officer HRIS dan Admin SDM,9,kai,Persentase Realisasi Pengajuan dan Persetujuan SPPD,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer HRIS dan Admin SDM,10,kai,Tingkat Kepatuhan Penyampaian Dokumen Pertanggungjawaban VA,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer HRIS dan Admin SDM,11,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer HRIS dan Admin SDM,12,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer HRIS dan Admin SDM,13,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer HRIS dan Admin SDM,14,kai,Persentase Karyawan yang Mengikuti MCU Sesuai Jadwal,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer HRIS dan Admin SDM,15,kai,Persentase penyelesaian temuan audit P-Travel dan MCU tepat waktu,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer HRIS dan Admin SDM,16,kai,Persentase Penyelesaian Tindak Lanjut Temuan Audit HC Data Warehouse,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer HRIS dan Admin SDM,17,kai,Persentase Penyelesaian Tindak Lanjut Temuan Audit SAP HCM,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer HRIS dan Admin SDM,18,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer HRIS dan Admin SDM,19,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer HRIS dan Admin SDM,20,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer HRIS dan Admin SDM,21,kai,Pelaksanaan digitalisasi proses layanan SDM,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer HRIS dan Admin SDM,22,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pelaksanaan penyelesaian temuan audit",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer HRIS dan Admin SDM,23,kai,Tingkat Kepatuhan Penyusunan dan Persetujuan Kebijakan P-Invent,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer HRIS dan Admin SDM,24,kai,Pelaksanaan transformasi layanan SDM menjadi HRBP,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Manajemen Kearsipan,9,kai,Tingkat Kepatuhan Penyampaian Dokumen Pertanggungjawaban VA,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Manajemen Kearsipan,10,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Manajemen Kearsipan,11,kai,Persentase Kepatuhan Penggunaan Metode Pengiriman Surat Elektronik,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Manajemen Kearsipan,12,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Manajemen Kearsipan,13,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Manajemen Kearsipan,14,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Manajemen Kearsipan,15,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Manajemen Kearsipan,16,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Manajemen Kearsipan,17,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Manajemen Kearsipan,18,kai,% pemindahan arsip inaktif sesuai pedoman pengelolaan arsip dinamis,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Manajemen Kearsipan,19,kai,Persentase Kesesuaian Penataan Arsip Inaktif sesuai pedoman pengelolaan arsip dinamis,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Manajemen Kearsipan,20,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pelaksanaan penyelesaian temuan audit",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Manajemen Kearsipan,21,kai,% kesesuaian jumlah box relokasi dengan hasil uji temu kembali,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Manajemen Kearsipan,9,kai,Tingkat Kepatuhan Penyampaian Dokumen Pertanggungjawaban VA,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Manajemen Kearsipan,10,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Manajemen Kearsipan,11,kai,Persentase Kepatuhan Penggunaan Metode Pengiriman Surat Elektronik,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Manajemen Kearsipan,12,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Manajemen Kearsipan,13,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Manajemen Kearsipan,14,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Manajemen Kearsipan,15,kai,% pemindahan arsip inaktif sesuai pedoman pengelolaan arsip dinamis,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Manajemen Kearsipan,16,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Manajemen Kearsipan,17,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Manajemen Kearsipan,18,kai,Persentase Kesesuaian Penataan Arsip Inaktif sesuai pedoman pengelolaan arsip dinamis,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Manajemen Kearsipan,19,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pelaksanaan penyelesaian temuan audit",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Manajemen Kearsipan,20,kai,% kesesuaian jumlah box relokasi dengan hasil uji temu kembali,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Hubungan Industrial dan,9,kai,Tingkat Kepatuhan Penyampaian Laporan Evaluasi Pengajuan Uang Muka,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Hubungan Industrial dan,10,output,Pembuatan evaluasi dan monitoring atas Pengajuan Uang Muka Diterima,Dropped OUTPUT row because comment is Drop and output weight is blank.
warning,Officer Hubungan Industrial dan,10,kai,Persentase Pengajuan Uang Muka yang Dievaluasi dan Diverifikasi Tepat Waktu,Skipped KAI because its OUTPUT row was dropped or missing.
info,Officer Hubungan Industrial dan,11,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Hubungan Industrial dan,12,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Hubungan Industrial dan,13,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Hubungan Industrial dan,14,output,Pelaksanaan Kerjasama dengan BNN,Dropped OUTPUT row because comment is Drop and output weight is blank.
warning,Officer Hubungan Industrial dan,14,kai,Persentase Pelaksanaan Jadwal Sosialisasi P4GN Sesuai Rencana,Skipped KAI because its OUTPUT row was dropped or missing.
info,Officer Hubungan Industrial dan,15,output,Pembuatan draft penyelesian temuan audit dan update pemenuhan tata kelola dan managemen risiko,Dropped OUTPUT row because comment is Drop and output weight is blank.
warning,Officer Hubungan Industrial dan,15,kai,Persentase Penyelesaian Review Internal atas Draft Penyelesaian Temuan Audit,Skipped KAI because its OUTPUT row was dropped or missing.
info,Officer Hubungan Industrial dan,16,output,Menyiapkan draft penyelesaian audit dan update tata kelola dan managemen risiko,Dropped OUTPUT row because comment is Drop and output weight is blank.
warning,Officer Hubungan Industrial dan,16,kai,Persentase Kepatuhan Penyampaian Laporan Temuan Audit Internal Tepat Waktu,Skipped KAI because its OUTPUT row was dropped or missing.
info,Officer Hubungan Industrial dan,17,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Hubungan Industrial dan,18,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Hubungan Industrial dan,19,kai,Tingkat Kepatuhan Penyusunan Draft Dokumen Pengadaan Sesuai Standar,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Hubungan Industrial dan,20,output,Pelaksanaan program kerja terkait dengan EWP,Dropped OUTPUT row because comment is Drop and output weight is blank.
warning,Officer Hubungan Industrial dan,20,kai,Tingkat Kepatuhan Pelaksanaan Jadwal Program EWP,Skipped KAI because its OUTPUT row was dropped or missing.
info,Officer Hubungan Industrial dan,21,kai,Persentase Penyelesaian Rencana Pemeriksaan Disiplin Tepat Waktu,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Hubungan Industrial dan,22,output,Pelaksanaan Program-program Well-being (EWP),Dropped OUTPUT row because comment is Drop and output weight is blank.
warning,Officer Hubungan Industrial dan,22,kai,Tingkat Kepatuhan Pelaporan Kegiatan Well-being Bulanan,Skipped KAI because its OUTPUT row was dropped or missing.
info,Officer Hubungan Industrial dan,23,kai,Tingkat Kepatuhan Pelaksanaan Tahapan Survei Engagement dan Kepuasan Pekerja,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Hubungan Industrial dan,24,output,Penyelesaian konsep final Peraturan Direksi Tentang Disiplin Pekerja,Dropped OUTPUT row because comment is Drop and output weight is blank.
warning,Officer Hubungan Industrial dan,24,kai,Persentase Penyelesaian Review Internal Draft Peraturan Disiplin Pekerja,Skipped KAI because its OUTPUT row was dropped or missing.
info,Officer Hubungan Industrial dan,25,kai,Persentase penyelesaian review internal temuan audit sebelum penyusunan draft,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Hubungan Industrial dan,26,kai,Tingkat Kepatuhan Penyusunan Draft Materi Bipartit Sebelum Jadwal,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Hubungan Industrial dan,27,output,Pembuatan Peraturan Direksi terkait Employee Wellbeing (EWP),Dropped OUTPUT row because comment is Drop and output weight is blank.
