severity,sheet_name,source_row,record_type,title,message
info,Office Strategi dan Perencanaan,9,kai,Monitoring dan Evaluasi Rencana Pengadaan yang disusun,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Office Strategi dan Perencanaan,10,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Office Strategi dan Perencanaan,11,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Office Strategi dan Perencanaan,12,kai,Jumlah Persiapan dan Pelaksanaan Vendor Day dan Hearing Session,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Office Strategi dan Perencanaan,13,kai,Persentase Respon Vendor terhadap Survei Kepuasan Pengadaan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Office Strategi dan Perencanaan,14,kai,Persentase penyelesaian modul pengembangan E-Procurement,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Office Strategi dan Perencanaan,15,kai,Memastikan bahwa E-catalogue berfungsi dengan baik,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Office Strategi dan Perencanaan,16,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Office Strategi dan Perencanaan,17,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Office Strategi dan Perencanaan,18,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Office Strategi dan Perencanaan,19,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Office Strategi dan Perencanaan,20,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pelaksanaan tindak lanjut penyelesaian temuan audit",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Pengadaan Teknik,9,kai,Tingkat Kepatuhan Proses Pengadaan Bersama Bidang Teknik,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Pengadaan Teknik,10,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Pengadaan Teknik,11,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Pengadaan Teknik,12,kai,Jumlah Persiapan dan Pelaksanaan Vendor Day dan Hearing Session,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Pengadaan Teknik,13,kai,Persentase Respon Vendor terhadap Survei Kepuasan Pengadaan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Pengadaan Teknik,14,kai,Persentase Pengadaan Produk Lokal yang Memenuhi Spesifikasi Teknis,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Pengadaan Teknik,15,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Pengadaan Teknik,16,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Pengadaan Teknik,17,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Pengadaan Teknik,18,kai,Tingkat Kepatuhan Penyusunan Dokumen Pengadaan Teknik Tepat Waktu,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Pengadaan Teknik,19,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pelaksanaan tindak lanjut penyelesaian temuan audit",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
