severity,sheet_name,source_row,record_type,title,message
info,Officer Rekrutmen-Karir,9,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Rekrutmen-Karir,10,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Rekrutmen-Karir,11,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Rekrutmen-Karir,12,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Rekrutmen-Karir,13,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Rekrutmen-Karir,14,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Rekrutmen-Karir,15,kai,"Pelaksanaan tindak lanjut penyelesaian temuan audit tata kelola, manajemen risiko, dan kepatuhan internal",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Rekrutmen-Karir,16,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Rekrutmen-Karir,17,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Rekrutmen-Karir,18,output,HC Roadmap Delivery & Impact Monitoring Bidang Pengelolaan SDM,Dropped OUTPUT row because comment is Drop and output weight is blank.
warning,Officer Rekrutmen-Karir,18,kai,Pelaksanaan monitoring dan evaluasi implementasi roadmap pengelolaan SDM,Skipped KAI because its OUTPUT row was dropped or missing.
info,Officer Rekrutmen-Karir,19,kai,Pengisian posisi jabatan struktural yang kosong,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Rekrutmen-Karir,20,kai,"Pemenuhan data dalam portal HC BUMN (target keseluruhan 90%):
1. CV
2. SK RUPS
3. Remunerasi",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Rekrutmen-Karir,21,kai,Penyiapan serta penyampaian daftar talent perusahaan kepada Danantara/BP BUMN,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Rekrutmen-Karir,22,kai,"1. Evaluasi pelaksanaan mutasi

2. penyusunan SK mutasi pekerja",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Rekrutmen-Karir,23,kai,"1. penyiapan proses admin penyelenggaraan event talent

2. penyelenggaraan proses event talent",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Rekrutmen-Karir,24,kai,"1. Evaluasi pelaksanaan rekrutmen

2. penyusunan dokumen pengangkatan pekerja",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Rekrutmen-Karir,25,output,Enhancement modul TMS,Dropped OUTPUT row because output weight is blank.
warning,Officer Rekrutmen-Karir,25,kai,% progress enhancement modul TMS,Skipped KAI because its OUTPUT row was dropped or missing.
info,Officer Pelaksanaan Pembelajara,9,kai,Ketepatan proses pembayaran di departemen,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Pelaksanaan Pembelajara,10,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Pelaksanaan Pembelajara,11,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Pelaksanaan Pembelajara,12,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Pelaksanaan Pembelajara,13,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Pelaksanaan Pembelajara,14,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Pelaksanaan Pembelajara,15,kai,"Pelaksanaan tindak lanjut penyelesaian temuan audit tata kelola, manajemen risiko, dan kepatuhan internal",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Pelaksanaan Pembelajara,16,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Pelaksanaan Pembelajara,17,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Pelaksanaan Pembelajara,18,output,HC Roadmap Delivery & Impact Monitoring Bidang Pengelolaan SDM,Dropped OUTPUT row because comment is Drop and output weight is blank.
warning,Officer Pelaksanaan Pembelajara,18,kai,Pelaksanaan monitoring dan evaluasi implementasi roadmap pengelolaan SDM,Skipped KAI because its OUTPUT row was dropped or missing.
info,Officer Pelaksanaan Pembelajara,19,kai,Pelaksanaan pengelolaan dan pengembangan program Pelindo Academy,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Pelaksanaan Pembelajara,20,kai,Pelaksanaan program KM (Knowledge Management) optimization,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Pelaksanaan Pembelajara,21,kai,Pelaksanaan program internship,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Pelaksanaan Pembelajara,22,kai,Implementasi learning journey,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Pelaksanaan Pembelajara,23,kai,Pelaksanaan kegiatan pembelajaran Fundamental Skill Improvement,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Pelaksanaan Pembelajara,24,kai,Pelaksanaan kegiatan pembelajaran ESG Skill Improvement,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Kinerja Individu,9,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Kinerja Individu,10,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Kinerja Individu,11,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Kinerja Individu,12,output,(blank),Dropped OUTPUT row because output weight is blank.
