severity,sheet_name,source_row,record_type,title,message
info,Group Head,9,kai,Monitoring dan Evaluasi Perawatan alat utama dan alat pendukung,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,10,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Group Head,11,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Group Head,12,output,Net Income,Dropped OUTPUT row because output weight is blank.
warning,Group Head,12,kai,Pelaksanaan pengelolaan strategis pengadaan untuk mendukung pencapaian net income,Skipped KAI because its OUTPUT row was dropped or missing.
info,Group Head,13,kai,Persentase Implementasi Teknologi Energi Terbarukan pada Peralatan Pelabuhan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,14,output,Nilai Komitmen TKDN terhadap alat yang diproduksi di dalam negri,Dropped OUTPUT row because output weight is blank.
warning,Group Head,14,kai,Persentase Penggunaan Komponen Lokal dalam Pengadaan Peralatan Pelabuhan,Skipped KAI because its OUTPUT row was dropped or missing.
info,Group Head,15,kai,Jumlah alat yang berhasil dielektrifikasi,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,16,output,Delta Pengurangan Kecelakaan Kerja Eksternal,Dropped OUTPUT row because output weight is blank.
warning,Group Head,16,kai,Pelaksanaan program pencegahan kecelakaan kerja eksternal,Skipped KAI because its OUTPUT row was dropped or missing.
info,Group Head,17,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Group Head,18,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Group Head,19,kai,Persentase Penyelesaian Tahapan Implementasi Aplikasi Pemeliharaan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,20,kai,Pelaksanaan evaluasi pemeliharaan peralatan pelabuhan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,21,kai,Persentase penyelesaian tindak lanjut temuan audit internal,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,23,kai,9,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Perencanaan Peralatan,9,kai,Persentase Pelaporan Evaluasi Pemeliharaan Aset Peralatan Bongkar Muat Tepat Waktu dan Lengkap,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Perencanaan Peralatan,10,kai,Persentase Penyelesaian Tahapan Implementasi Aplikasi Pemeliharaan modul Bongkar Muat,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Perencanaan Peralatan,11,kai,MonEv Tingkat Kepatuhan Jadwal Pemeliharaan Alat Bongkar Muat,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Perencanaan Peralatan,12,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Perencanaan Peralatan,13,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Perencanaan Peralatan,14,kai,Persentase Efisiensi Biaya konsumsi energi peralatan pelabuhan yang telah dielektrifikasi,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Perencanaan Peralatan,15,output,Nilai Komitmen TKDN terhadap alat yang diproduksi di dalam negri,Dropped OUTPUT row because comment is Drop and output weight is blank.
warning,DH Perencanaan Peralatan,15,kai,Persentase Penggunaan Komponen Lokal dalam Pengadaan Peralatan Pelabuhan,Skipped KAI because its OUTPUT row was dropped or missing.
info,DH Perencanaan Peralatan,16,output,Delta Pengurangan Kecelakaan Kerja Eksternal,Dropped OUTPUT row because comment is Drop and output weight is blank.
warning,DH Perencanaan Peralatan,16,kai,Pelaksanaan program pencegahan kecelakaan kerja eksternal,Skipped KAI because its OUTPUT row was dropped or missing.
info,DH Perencanaan Peralatan,17,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Perencanaan Peralatan,18,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Perencanaan Peralatan,19,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Perencanaan Peralatan,20,kai,Persentase penyelesaian tindak lanjut temuan audit internal,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Perencanaan Peralatan,22,kai,7,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Perencanaan Instalasi dan,9,kai,Persentase Pelaporan Evaluasi Pemeliharaan Aset Alat Apung Tepat Waktu dan Lengkap,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Perencanaan Instalasi dan,10,kai,Persentase Penyelesaian Tahapan Implementasi Aplikasi Pemeliharaan modul alat apung,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Perencanaan Instalasi dan,11,kai,MonEv Tingkat Kepatuhan Jadwal Pemeliharaan Alat Apung,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Perencanaan Instalasi dan,12,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Perencanaan Instalasi dan,13,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Perencanaan Instalasi dan,14,output,Efisiensi Biaya Konsumsi Energi Peralatan Pelabuhan yang telah dielektrifikasi,Dropped OUTPUT row because comment is Drop and output weight is blank.
warning,DH Perencanaan Instalasi dan,14,kai,Persentase Efisiensi Biaya konsumsi energi peralatan pelabuhan yang telah dielektrifikasi,Skipped KAI because its OUTPUT row was dropped or missing.
info,DH Perencanaan Instalasi dan,15,output,Nilai Komitmen TKDN terhadap alat yang diproduksi di dalam negri,Dropped OUTPUT row because comment is Drop and output weight is blank.
warning,DH Perencanaan Instalasi dan,15,kai,Persentase Penggunaan Komponen Lokal dalam Pengadaan Peralatan Pelabuhan,Skipped KAI because its OUTPUT row was dropped or missing.
info,DH Perencanaan Instalasi dan,16,output,Delta Pengurangan Kecelakaan Kerja Eksternal,Dropped OUTPUT row because comment is Drop and output weight is blank.
warning,DH Perencanaan Instalasi dan,16,kai,Pelaksanaan program pencegahan kecelakaan kerja eksternal,Skipped KAI because its OUTPUT row was dropped or missing.
info,DH Perencanaan Instalasi dan,17,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Perencanaan Instalasi dan,18,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Perencanaan Instalasi dan,19,kai,Persentase Penyelesaian Dokumen Desain MEP Tepat Waktu,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Perencanaan Instalasi dan,20,kai,Persentase penyelesaian tindak lanjut temuan audit internal,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Perencanaan Instalasi dan,22,kai,8,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Perencanaan Peralatan,9,kai,Persentase Pelaporan Evaluasi Pemeliharaan Aset Peralatan Bongkar Muat Tepat Waktu dan Lengkap,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Perencanaan Peralatan,10,kai,Persentase Penyelesaian Tahapan Implementasi Aplikasi Pemeliharaan modul Bongkar Muat,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Perencanaan Peralatan,11,kai,MonEv Tingkat Kepatuhan Jadwal Pemeliharaan Alat Bongkar Muat,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Perencanaan Peralatan,12,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Perencanaan Peralatan,13,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Perencanaan Peralatan,14,kai,Persentase Efisiensi Biaya konsumsi energi peralatan pelabuhan yang telah dielektrifikasi,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Perencanaan Peralatan,15,output,Nilai Komitmen TKDN terhadap alat yang diproduksi di dalam negri,Dropped OUTPUT row because comment is Drop and output weight is blank.
warning,Officer Perencanaan Peralatan,15,kai,Persentase Penggunaan Komponen Lokal dalam Pengadaan Peralatan Pelabuhan,Skipped KAI because its OUTPUT row was dropped or missing.
info,Officer Perencanaan Peralatan,16,output,Delta Pengurangan Kecelakaan Kerja Eksternal,Dropped OUTPUT row because comment is Drop and output weight is blank.
warning,Officer Perencanaan Peralatan,16,kai,Pelaksanaan program pencegahan kecelakaan kerja eksternal,Skipped KAI because its OUTPUT row was dropped or missing.
info,Officer Perencanaan Peralatan,17,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Perencanaan Peralatan,18,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Perencanaan Peralatan,19,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Perencanaan Peralatan,20,kai,Persentase penyelesaian tindak lanjut temuan audit internal,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Perencanaan Peralatan,22,kai,7,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Perencanaan Instalasi,9,kai,Persentase Pelaporan Evaluasi Pemeliharaan Aset Alat Apung Tepat Waktu dan Lengkap,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Perencanaan Instalasi,10,kai,Persentase Penyelesaian Tahapan Implementasi Aplikasi Pemeliharaan modul alat apung,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Perencanaan Instalasi,11,kai,MonEv Tingkat Kepatuhan Jadwal Pemeliharaan Alat Apung,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Perencanaan Instalasi,12,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Perencanaan Instalasi,13,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Perencanaan Instalasi,14,output,Efisiensi Biaya Konsumsi Energi Peralatan Pelabuhan yang telah dielektrifikasi,Dropped OUTPUT row because comment is Drop and output weight is blank.
warning,Officer Perencanaan Instalasi,14,kai,Persentase Efisiensi Biaya konsumsi energi peralatan pelabuhan yang telah dielektrifikasi,Skipped KAI because its OUTPUT row was dropped or missing.
info,Officer Perencanaan Instalasi,15,output,Nilai Komitmen TKDN terhadap alat yang diproduksi di dalam negri,Dropped OUTPUT row because comment is Drop and output weight is blank.
warning,Officer Perencanaan Instalasi,15,kai,Persentase Penggunaan Komponen Lokal dalam Pengadaan Peralatan Pelabuhan,Skipped KAI because its OUTPUT row was dropped or missing.
info,Officer Perencanaan Instalasi,16,output,Delta Pengurangan Kecelakaan Kerja Eksternal,Dropped OUTPUT row because comment is Drop and output weight is blank.
warning,Officer Perencanaan Instalasi,16,kai,Pelaksanaan program pencegahan kecelakaan kerja eksternal,Skipped KAI because its OUTPUT row was dropped or missing.
info,Officer Perencanaan Instalasi,17,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Perencanaan Instalasi,18,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Perencanaan Instalasi,19,kai,Persentase Penyelesaian Dokumen Desain MEP Tepat Waktu,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Perencanaan Instalasi,20,kai,Persentase penyelesaian tindak lanjut temuan audit internal,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Perencanaan Instalasi,22,kai,8,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,9,IMPACT,Total Productivity,enum_issue category=normalized; field=Polarity; raw=Positif; normalized=POSITIVE; Polarity normalized to POSITIVE.
info,Group Head,9,IMPACT,Total Productivity,enum_issue category=normalized; field=Period; raw=Triwulanan; normalized=TRIWULANAN; Period normalized to TRIWULANAN.
info,Group Head,10,IMPACT,Traffic Volume,enum_issue category=normalized; field=Polarity; raw=Positif; normalized=POSITIVE; Polarity normalized to POSITIVE.
info,Group Head,10,IMPACT,Traffic Volume,enum_issue category=normalized; field=Period; raw=Triwulanan; normalized=TRIWULANAN; Period normalized to TRIWULANAN.
info,Group Head,11,IMPACT,(ROIC > WACC) x Inv.Capital,enum_issue category=normalized; field=Polarity; raw=Positif; normalized=POSITIVE; Polarity normalized to POSITIVE.
info,Group Head,11,IMPACT,(ROIC > WACC) x Inv.Capital,enum_issue category=normalized; field=Period; raw=Triwulanan; normalized=TRIWULANAN; Period normalized to TRIWULANAN.
