severity,sheet_name,source_row,record_type,title,message
info,Group Head,9,kai,Persiapan dan Penyelesaian Laporan Monitoring Realisasi Investasi Tepat Waktu (Tanggal 15 bulan berikutnya),KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,10,kai,Persentase dokumen adendum dan pembayaran yang direviu dan disampaikan hasilnya tepat waktu,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,11,output,Tindak Lanjut pelaksanaan monitoring evaluasi pencapaian investasi,Dropped OUTPUT row because output weight is blank.
warning,Group Head,11,kai,Realisasi Tindak Lanjut Terhadap Rencana Aksi yang Disepakati,Skipped KAI because its OUTPUT row was dropped or missing.
info,Group Head,12,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Group Head,13,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Group Head,14,kai,Pelaksanaan pengelolaan biaya OPEX untuk mendukung pencapaian net income di Group Pengendalian Proyek,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,15,kai,Persentase Kepatuhan Pelaksanaan Jadwal Proyek,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,16,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Group Head,17,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Group Head,18,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Group Head,19,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Group Head,20,kai,Persentase Pelaksanaan Pelatihan Manajemen Proyek Terhadap Target,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,21,kai,Persentase Kepatuhan Pelaksanaan Review Milestone Proyek,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,22,kai,Persentase Penyelesaian Tahapan Pengembangan Dashboard,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,23,kai,Persentase Kepatuhan Terhadap Jadwal Milestone Proyek,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,24,kai,Persentase penyelesaian tindak lanjut temuan audit tepat waktu,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Pengendalian Kinerja Proyek,9,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Pengendalian Kinerja Proyek,10,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Pengendalian Kinerja Proyek,11,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Pengendalian Kinerja Proyek,12,kai,Pelaksanaan pengelolaan biaya OPEX untuk mendukung pencapaian net income di Group Pengendalian Proyek,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Pengendalian Kinerja Proyek,13,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Pengendalian Kinerja Proyek,14,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Pengendalian Kinerja Proyek,15,kai,Persentase penyelesaian tindak lanjut temuan audit tepat waktu,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
