severity,sheet_name,source_row,record_type,title,message
info,Manager Pelaporan dan Monitor,9,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Pelaporan dan Monitor,10,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Pelaporan dan Monitor,11,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Pelaporan dan Monitor,12,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Pelaporan dan Monitor,13,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Pelaporan dan Monitor,14,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Pelaporan dan Monitor,15,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Pelaporan dan Monitor,16,kai,Pelaksanaan pengisian data dalam sistem Informasi TJSL Kementerian BUMN,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Pelaporan dan Monitor,17,kai,Pelaksanaan penyaluran anggaran Program TJSL sesuai rencana kerja dan ketentuan yang berlaku,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Pelaporan dan Monitor,18,kai,Pelaksanaan perlibatan peran serta karyawan secara aktif dalam program TJSL,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Pelaporan dan Monitor,19,kai,Pelaksanaan kolaborasi Program TJSL antar BUMN dan Non BUMN sesuai kompetensi untuk meningkatkan dampak positif program,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Pelaporan dan Monitor,20,kai,Pelaksanaan pengukuran dampak Program TJSL dengan metode SROI,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Pelaporan dan Monitor,21,kai,Pelaksanaan monitoring mitra binaan sesuai ketentuan dan target tahun berjalan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Pelaporan dan Monitor,22,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Pelaporan dan Monitor,23,kai,Pelaksanaan pelatihan TJSL bagi pegawai pengelola TJSL,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Pengelolaan dan Perenca,9,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Pengelolaan dan Perenca,10,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Pengelolaan dan Perenca,11,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Pengelolaan dan Perenca,12,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Pengelolaan dan Perenca,13,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Pengelolaan dan Perenca,14,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Pengelolaan dan Perenca,15,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Pengelolaan dan Perenca,16,kai,Pelaksanaan penyaluran anggaran Program TJSL sesuai rencana kerja dan ketentuan yang berlaku,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Pengelolaan dan Perenca,17,kai,Pelaksanaan perlibatan peran serta karyawan secara aktif dalam program TJSL,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Pengelolaan dan Perenca,18,kai,Pelaksanaan kolaborasi Program TJSL antar BUMN dan Non BUMN sesuai kompetensi untuk meningkatkan dampak positif program,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Pengelolaan dan Perenca,19,kai,Pelaksanaan pengukuran dampak Program TJSL dengan metode SROI,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Pengelolaan dan Perenca,20,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Pengelolaan dan Perenca,21,kai,Pelaksanaan pelatihan TJSL bagi pegawai pengelola TJSL,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Corcomm,9,kai,Jumlah Rilis Berita Positif yang Diterbitkan di Media Massa,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Corcomm,10,kai,Persentase laporan pengelolaan barang kebutuhan promosi yang diselesaikan tepat waktu,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Corcomm,11,output,Penyusunan RKAP Group,Dropped OUTPUT row because comment is Drop and output weight is blank.
warning,Officer Corcomm,11,kai,Persentase Penyelesaian Draft RKAP Tepat Waktu,Skipped KAI because its OUTPUT row was dropped or missing.
info,Officer Corcomm,12,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Corcomm,13,kai,Persentase Realisasi Jumlah Sponsorship yang Diraih,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Corcomm,14,kai,Persentase Kegiatan Promosi yang Terselenggara Sesuai Jadwal dan Target,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Corcomm,15,kai,Persentase realisasi kegiatan promosi media sesuai rencana,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Corcomm,16,kai,Persentase realisasi kerjasama media yang disepakati dalam periode,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Corcomm,17,kai,Pelaksanaan koordinasi dan pengumpulan data untuk penyusunan laporan tahunan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Corcomm,18,kai,Waktu Penyelesaian Draft Laporan Kehumasan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Corcomm,19,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Corcomm,20,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Corcomm,21,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Corcomm,22,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Corcomm,23,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Corcomm,24,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Hubungan Lembaga-Invest,9,kai,Pelaksanaan penyusunan dan pengiriman laporan OJK sesuai ketentuan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Hubungan Lembaga-Invest,10,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Hubungan Lembaga-Invest,11,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pelaksanaan konsolidasi dan pelaporan kegiatan stakeholder management",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Hubungan Lembaga-Invest,12,kai,Pelaksanaan koordinasi dan eksekusi kegiatan Stakeholder Gathering sesuai rencana kerja,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Hubungan Lembaga-Invest,13,kai,Pelaksanaan pengelolaan hubungan kelembagaan dan stakeholder secara efektif,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Hubungan Lembaga-Invest,14,kai,Jumlah Kegiatan Kolaborasi dengan Lembaga Non-DPR RI,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Hubungan Lembaga-Invest,15,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Hubungan Lembaga-Invest,16,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Hubungan Lembaga-Invest,17,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Hubungan Lembaga-Invest,18,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Hubungan Lembaga-Invest,19,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Hubungan Lembaga-Invest,20,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Pelaporan dan Monitor,9,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Pelaporan dan Monitor,10,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Pelaporan dan Monitor,11,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Pelaporan dan Monitor,12,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Pelaporan dan Monitor,13,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Pelaporan dan Monitor,14,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Pelaporan dan Monitor,15,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Pelaporan dan Monitor,16,kai,Pelaksanaan pengisian data dalam sistem Informasi TJSL Kementerian BUMN,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Pelaporan dan Monitor,17,kai,Pelaksanaan penyaluran anggaran Program TJSL sesuai rencana kerja dan ketentuan yang berlaku,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Pelaporan dan Monitor,18,kai,Pelaksanaan perlibatan peran serta karyawan secara aktif dalam program TJSL,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Pelaporan dan Monitor,19,kai,Pelaksanaan kolaborasi Program TJSL antar BUMN dan Non BUMN sesuai kompetensi untuk meningkatkan dampak positif program,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Pelaporan dan Monitor,20,kai,Pelaksanaan pengukuran dampak Program TJSL dengan metode SROI,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Pelaporan dan Monitor,21,kai,Pelaksanaan monitoring mitra binaan sesuai ketentuan dan target tahun berjalan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Pelaporan dan Monitor,22,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Pelaporan dan Monitor,23,kai,Pelaksanaan pelatihan TJSL bagi pegawai pengelola TJSL,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Pengelolaan dan Perenca,9,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Pengelolaan dan Perenca,10,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Pengelolaan dan Perenca,11,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Pengelolaan dan Perenca,12,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Pengelolaan dan Perenca,13,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Pengelolaan dan Perenca,14,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Pengelolaan dan Perenca,15,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Pengelolaan dan Perenca,16,kai,Pelaksanaan penyaluran anggaran Program TJSL sesuai rencana kerja dan ketentuan yang berlaku,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Pengelolaan dan Perenca,17,kai,Pelaksanaan perlibatan peran serta karyawan secara aktif dalam program TJSL,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Pengelolaan dan Perenca,18,kai,Pelaksanaan kolaborasi Program TJSL antar BUMN dan Non BUMN sesuai kompetensi untuk meningkatkan dampak positif program,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Pengelolaan dan Perenca,19,kai,Pelaksanaan pengukuran dampak Program TJSL dengan metode SROI,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Pengelolaan dan Perenca,20,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Pengelolaan dan Perenca,21,kai,Pelaksanaan pelatihan TJSL bagi pegawai pengelola TJSL,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Manajemen Kesekretariat,9,output,"Perhitungan, input data pada SAP dan pembayaran penghasilan direksi dan dewan komisaris.",Dropped OUTPUT row because output weight is blank.
warning,Officer Manajemen Kesekretariat,9,kai,Persentase Ketepatan waktu input data dan pembayaran penghasilan direksi dan dewan komisaris,Skipped KAI because its OUTPUT row was dropped or missing.
info,Officer Manajemen Kesekretariat,10,kai,Persentase Penyelesaian Pengadaan Kendaraan Dinas Dalam Waktu 90 Hari,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
