source_workbook,sheet_name,pmid,production_type_id,resolved_scope,before,after
KAMUS KPI HO PRE-RESTRUCTURE/DIREKTORAT TEKNIK - Ibu Ika Oktania - Pengendalian Proyek (Selesai konfirmasi KPI).xlsx,Pimpinan Proyek,,,neglect,"{""cluster_label"": null, ""portaverse_company_name"": null, ""portaverse_group_name"": null, ""portaverse_position_title"": null, ""position_master_id"": null, ""position_name"": ""Pimpinan Proyek"", ""position_nomenclature_id"": null, ""position_scope"": null}","{""cluster_label"": null, ""portaverse_company_name"": null, ""portaverse_group_name"": null, ""portaverse_position_title"": null, ""position_master_id"": null, ""position_name"": ""Pimpinan Proyek"", ""position_nomenclature_id"": null, ""position_scope"": ""neglect""}"
KAMUS KPI HO PRE-RESTRUCTURE/DIREKTORAT TEKNIK - Ibu Ika Oktania - Pengendalian Proyek (Selesai konfirmasi KPI).xlsx,Deputy Administrasi,,,neglect,"{""cluster_label"": null, ""portaverse_company_name"": null, ""portaverse_group_name"": null, ""portaverse_position_title"": null, ""position_master_id"": null, ""position_name"": ""Deputy Administrasi"", ""position_nomenclature_id"": null, ""position_scope"": null}","{""cluster_label"": null, ""portaverse_company_name"": null, ""portaverse_group_name"": null, ""portaverse_position_title"": null, ""position_master_id"": null, ""position_name"": ""Deputy Administrasi"", ""position_nomenclature_id"": null, ""position_scope"": ""neglect""}"
KAMUS KPI HO PRE-RESTRUCTURE/DIREKTORAT TEKNIK - Ibu Ika Oktania - Pengendalian Proyek (Selesai konfirmasi KPI).xlsx,Deputy Konstruksi,,,neglect,"{""cluster_label"": null, ""portaverse_company_name"": null, ""portaverse_group_name"": null, ""portaverse_position_title"": null, ""position_master_id"": null, ""position_name"": ""Deputy Konstruksi"", ""position_nomenclature_id"": null, ""position_scope"": null}","{""cluster_label"": null, ""portaverse_company_name"": null, ""portaverse_group_name"": null, ""portaverse_position_title"": null, ""position_master_id"": null, ""position_name"": ""Deputy Konstruksi"", ""position_nomenclature_id"": null, ""position_scope"": ""neglect""}"
KAMUS KPI HO PRE-RESTRUCTURE/DIREKTORAT TEKNIK - Ibu Ika Oktania - Pengendalian Proyek (Selesai konfirmasi KPI).xlsx,Deputy Perencanaan Proyek,,,neglect,"{""cluster_label"": null, ""portaverse_company_name"": null, ""portaverse_group_name"": null, ""portaverse_position_title"": null, ""position_master_id"": null, ""position_name"": ""Deputy Perencanaan Proyek"", ""position_nomenclature_id"": null, ""position_scope"": null}","{""cluster_label"": null, ""portaverse_company_name"": null, ""portaverse_group_name"": null, ""portaverse_position_title"": null, ""position_master_id"": null, ""position_name"": ""Deputy Perencanaan Proyek"", ""position_nomenclature_id"": null, ""position_scope"": ""neglect""}"
KAMUS KPI HO PRE-RESTRUCTURE/DIREKTORAT TEKNIK - Ibu Ika Oktania - Pengendalian Proyek (Selesai konfirmasi KPI).xlsx,Officer Administrasi,,,neglect,"{""cluster_label"": null, ""portaverse_company_name"": null, ""portaverse_group_name"": null, ""portaverse_position_title"": null, ""position_master_id"": null, ""position_name"": ""Officer Administrasi"", ""position_nomenclature_id"": null, ""position_scope"": null}","{""cluster_label"": null, ""portaverse_company_name"": null, ""portaverse_group_name"": null, ""portaverse_position_title"": null, ""position_master_id"": null, ""position_name"": ""Officer Administrasi"", ""position_nomenclature_id"": null, ""position_scope"": ""neglect""}"
KAMUS KPI HO PRE-RESTRUCTURE/DIREKTORAT TEKNIK - Ibu Ika Oktania - Pengendalian Proyek (Selesai konfirmasi KPI).xlsx,Manager Administrasi,,,neglect,"{""cluster_label"": null, ""portaverse_company_name"": null, ""portaverse_group_name"": null, ""portaverse_position_title"": null, ""position_master_id"": null, ""position_name"": ""Manager Administrasi"", ""position_nomenclature_id"": null, ""position_scope"": null}","{""cluster_label"": null, ""portaverse_company_name"": null, ""portaverse_group_name"": null, ""portaverse_position_title"": null, ""position_master_id"": null, ""position_name"": ""Manager Administrasi"", ""position_nomenclature_id"": null, ""position_scope"": ""neglect""}"
KAMUS KPI HO PRE-RESTRUCTURE/DIREKTORAT TEKNIK - Ibu Ika Oktania - Pengendalian Proyek (Selesai konfirmasi KPI).xlsx,Officer Konstruksi,,,neglect,"{""cluster_label"": null, ""portaverse_company_name"": null, ""portaverse_group_name"": null, ""portaverse_position_title"": null, ""position_master_id"": null, ""position_name"": ""Officer Konstruksi"", ""position_nomenclature_id"": null, ""position_scope"": null}","{""cluster_label"": null, ""portaverse_company_name"": null, ""portaverse_group_name"": null, ""portaverse_position_title"": null, ""position_master_id"": null, ""position_name"": ""Officer Konstruksi"", ""position_nomenclature_id"": null, ""position_scope"": ""neglect""}"
KAMUS KPI HO PRE-RESTRUCTURE/DIREKTORAT TEKNIK - Ibu Ika Oktania - Pengendalian Proyek (Selesai konfirmasi KPI).xlsx,Manager Konstruksi,,,neglect,"{""cluster_label"": null, ""portaverse_company_name"": null, ""portaverse_group_name"": null, ""portaverse_position_title"": null, ""position_master_id"": null, ""position_name"": ""Manager Konstruksi"", ""position_nomenclature_id"": null, ""position_scope"": null}","{""cluster_label"": null, ""portaverse_company_name"": null, ""portaverse_group_name"": null, ""portaverse_position_title"": null, ""position_master_id"": null, ""position_name"": ""Manager Konstruksi"", ""position_nomenclature_id"": null, ""position_scope"": ""neglect""}"
KAMUS KPI HO PRE-RESTRUCTURE/DIREKTORAT TEKNIK - Ibu Ika Oktania - Pengendalian Proyek (Selesai konfirmasi KPI).xlsx,Manager Perencanaan Proyek,,,neglect,"{""cluster_label"": null, ""portaverse_company_name"": null, ""portaverse_group_name"": null, ""portaverse_position_title"": null, ""position_master_id"": null, ""position_name"": ""Manager Perencanaan Proyek"", ""position_nomenclature_id"": null, ""position_scope"": null}","{""cluster_label"": null, ""portaverse_company_name"": null, ""portaverse_group_name"": null, ""portaverse_position_title"": null, ""position_master_id"": null, ""position_name"": ""Manager Perencanaan Proyek"", ""position_nomenclature_id"": null, ""position_scope"": ""neglect""}"
KAMUS KPI HO PRE-RESTRUCTURE/DIREKTORAT UTAMA - Ibu Vonny Oktaviana Sari - Group MonEv Strategi Perusahaan dan Inovasi (Done Konformasi KPI).xlsx,Dept Head MEKO,35327,5,structural,"{""cluster_label"": ""Dept Head MEKO"", ""portaverse_company_name"": null, ""portaverse_group_name"": null, ""portaverse_position_title"": null, ""position_master_id"": null, ""position_name"": ""Dept Head MEKO"", ""position_nomenclature_id"": ""35327"", ""position_scope"": ""non_structural""}","{""cluster_label"": null, ""portaverse_company_name"": ""PT Pelabuhan Indonesia (Persero)"", ""portaverse_group_name"": ""Group Transformasi Korporasi dan Manajemen Program"", ""portaverse_position_title"": ""Department Head Monitoring dan Evaluasi Klaster Optimalisasi Korporasi"", ""position_master_id"": ""35327"", ""position_name"": ""Department Head Monitoring dan Evaluasi Klaster Optimalisasi Korporasi"", ""position_nomenclature_id"": null, ""position_scope"": ""structural""}"
