status,rows,structural_rows,non_structural_rows,blank_identity_rows,double_identity_rows,path,upload_ready_path
READY,356,240,116,0,0,output/kpi_upload_final_20260618/Direktorat Keuangan - Group Akuntansi dan Perpajakan 06-18-2026 at 14.17 (2026 v1)/Direktorat Keuangan - Group Akuntansi dan Perpajakan 06-18-2026 at 14.17 (2026 v1).xlsx,output/kpi_upload_final_20260618/upload-ready/Direktorat Keuangan - Group Akuntansi dan Perpajakan 06-18-2026 at 14.17 (2026 v1).xlsx
READY,350,238,112,0,0,output/kpi_upload_final_20260618/Direktorat Keuangan - Group Pengelolaan Keuangan 06-18-2026 at 14.17 (2026 v1)/Direktorat Keuangan - Group Pengelolaan Keuangan 06-18-2026 at 14.17 (2026 v1).xlsx,output/kpi_upload_final_20260618/upload-ready/Direktorat Keuangan - Group Pengelolaan Keuangan 06-18-2026 at 14.17 (2026 v1).xlsx
READY,198,142,56,0,0,output/kpi_upload_final_20260618/Direktorat Keuangan - Group Perencanaan dan Performa Keuangan 06-18-2026 at 14.17 (2026 v1)/Direktorat Keuangan - Group Perencanaan dan Performa Keuangan 06-18-2026 at 14.17 (2026 v1).xlsx,output/kpi_upload_final_20260618/upload-ready/Direktorat Keuangan - Group Perencanaan dan Performa Keuangan 06-18-2026 at 14.17 (2026 v1).xlsx
READY,126,108,18,0,0,output/kpi_upload_final_20260618/Direktorat Komersial - Group Aliansi Bisnis 06-18-2026 at 14.17 (2026 v1)/Direktorat Komersial - Group Aliansi Bisnis 06-18-2026 at 14.17 (2026 v1).xlsx,output/kpi_upload_final_20260618/upload-ready/Direktorat Komersial - Group Aliansi Bisnis 06-18-2026 at 14.17 (2026 v1).xlsx
READY,206,128,78,0,0,output/kpi_upload_final_20260618/Direktorat Komersial - Group Manajemen Aset 06-18-2026 at 14.17 (2026 v1)/Direktorat Komersial - Group Manajemen Aset 06-18-2026 at 14.17 (2026 v1).xlsx,output/kpi_upload_final_20260618/upload-ready/Direktorat Komersial - Group Manajemen Aset 06-18-2026 at 14.17 (2026 v1).xlsx
READY,128,98,30,0,0,output/kpi_upload_final_20260618/Direktorat Komersial - Group Pemasaran 06-18-2026 at 14.17 (2026 v1)/Direktorat Komersial - Group Pemasaran 06-18-2026 at 14.17 (2026 v1).xlsx,output/kpi_upload_final_20260618/upload-ready/Direktorat Komersial - Group Pemasaran 06-18-2026 at 14.17 (2026 v1).xlsx
READY,220,148,72,0,0,output/kpi_upload_final_20260618/Direktorat Manajemen Risiko - Department Corporate Sustainability 06-18-2026 at 14.17 (2026 v1)/Direktorat Manajemen Risiko - Department Corporate Sustainability 06-18-2026 at 14.17 (2026 v1).xlsx,output/kpi_upload_final_20260618/upload-ready/Direktorat Manajemen Risiko - Department Corporate Sustainability 06-18-2026 at 14.17 (2026 v1).xlsx
READY,250,182,68,0,0,output/kpi_upload_final_20260618/Direktorat Manajemen Risiko - Group Hukum 06-18-2026 at 14.17 (2026 v1)/Direktorat Manajemen Risiko - Group Hukum 06-18-2026 at 14.17 (2026 v1).xlsx,output/kpi_upload_final_20260618/upload-ready/Direktorat Manajemen Risiko - Group Hukum 06-18-2026 at 14.17 (2026 v1).xlsx
READY,260,160,100,0,0,output/kpi_upload_final_20260618/Direktorat Manajemen Risiko - Group Manajemen Risiko-Tata Kelola-Kepatuhan 06-18-2026 at 14.17 (2026 v1)/Direktorat Manajemen Risiko - Group Manajemen Risiko-Tata Kelola-Kepatuhan 06-18-2026 at 14.17 (2026 v1).xlsx,output/kpi_upload_final_20260618/upload-ready/Direktorat Manajemen Risiko - Group Manajemen Risiko-Tata Kelola-Kepatuhan 06-18-2026 at 14.17 (2026 v1).xlsx
READY,144,96,48,0,0,output/kpi_upload_final_20260618/Direktorat Operasi - Department Terminal Petikemas 06-18-2026 at 14.17 (2026 v1)/Direktorat Operasi - Department Terminal Petikemas 06-18-2026 at 14.17 (2026 v1).xlsx,output/kpi_upload_final_20260618/upload-ready/Direktorat Operasi - Department Terminal Petikemas 06-18-2026 at 14.17 (2026 v1).xlsx
READY,332,208,124,0,0,output/kpi_upload_final_20260618/Direktorat Operasi - Group Teknologi Informasi 06-18-2026 at 14.17 (2026 v1)/Direktorat Operasi - Group Teknologi Informasi 06-18-2026 at 14.17 (2026 v1).xlsx,output/kpi_upload_final_20260618/upload-ready/Direktorat Operasi - Group Teknologi Informasi 06-18-2026 at 14.17 (2026 v1).xlsx
READY,184,110,74,0,0,output/kpi_upload_final_20260618/Direktorat Operasi - Pelayanan Kapal 06-18-2026 at 14.17 (2026 v1)/Direktorat Operasi - Pelayanan Kapal 06-18-2026 at 14.17 (2026 v1).xlsx,output/kpi_upload_final_20260618/upload-ready/Direktorat Operasi - Pelayanan Kapal 06-18-2026 at 14.17 (2026 v1).xlsx
READY,110,68,42,0,0,output/kpi_upload_final_20260618/Direktorat Pengembangan Usaha - Group Manajemen Investasi 06-18-2026 at 14.17 (2026 v1)/Direktorat Pengembangan Usaha - Group Manajemen Investasi 06-18-2026 at 14.17 (2026 v1).xlsx,output/kpi_upload_final_20260618/upload-ready/Direktorat Pengembangan Usaha - Group Manajemen Investasi 06-18-2026 at 14.17 (2026 v1).xlsx
READY,126,80,46,0,0,output/kpi_upload_final_20260618/Direktorat Pengembangan Usaha - Group Manajemen Portfolio AnPer 06-18-2026 at 14.17 (2026 v1)/Direktorat Pengembangan Usaha - Group Manajemen Portfolio AnPer 06-18-2026 at 14.17 (2026 v1).xlsx,output/kpi_upload_final_20260618/upload-ready/Direktorat Pengembangan Usaha - Group Manajemen Portfolio AnPer 06-18-2026 at 14.17 (2026 v1).xlsx
READY,730,594,136,0,0,output/kpi_upload_final_20260618/Direktorat Pengembangan Usaha - Group Pengembangan SSC 06-18-2026 at 14.17 (2026 v1)/Direktorat Pengembangan Usaha - Group Pengembangan SSC 06-18-2026 at 14.17 (2026 v1).xlsx,output/kpi_upload_final_20260618/upload-ready/Direktorat Pengembangan Usaha - Group Pengembangan SSC 06-18-2026 at 14.17 (2026 v1).xlsx
READY,196,124,72,0,0,output/kpi_upload_final_20260618/Direktorat Pengembangan Usaha - Group Strategi Korporasi dan Pengembangan Bisnis 06-18-2026 at 14.17 (2026 v1)/Direktorat Pengembangan Usaha - Group Strategi Korporasi dan Pengembangan Bisnis 06-18-2026 at 14.17 (2026 v1).xlsx,output/kpi_upload_final_20260618/upload-ready/Direktorat Pengembangan Usaha - Group Strategi Korporasi dan Pengembangan Bisnis 06-18-2026 at 14.17 (2026 v1).xlsx
READY,232,114,118,0,0,output/kpi_upload_final_20260618/Direktorat SDM dan Umum - Group Layanan SDM 06-18-2026 at 14.17 (2026 v1)/Direktorat SDM dan Umum - Group Layanan SDM 06-18-2026 at 14.17 (2026 v1).xlsx,output/kpi_upload_final_20260618/upload-ready/Direktorat SDM dan Umum - Group Layanan SDM 06-18-2026 at 14.17 (2026 v1).xlsx
READY,190,124,66,0,0,output/kpi_upload_final_20260618/Direktorat SDM dan Umum - Group Pengadaan 06-18-2026 at 14.17 (2026 v1)/Direktorat SDM dan Umum - Group Pengadaan 06-18-2026 at 14.17 (2026 v1).xlsx,output/kpi_upload_final_20260618/upload-ready/Direktorat SDM dan Umum - Group Pengadaan 06-18-2026 at 14.17 (2026 v1).xlsx
READY,297,128,169,0,0,output/kpi_upload_final_20260618/Direktorat SDM dan Umum - Group Pengelolaan SDM 06-18-2026 at 14.17 (2026 v1)/Direktorat SDM dan Umum - Group Pengelolaan SDM 06-18-2026 at 14.17 (2026 v1).xlsx,output/kpi_upload_final_20260618/upload-ready/Direktorat SDM dan Umum - Group Pengelolaan SDM 06-18-2026 at 14.17 (2026 v1).xlsx
READY,248,124,124,0,0,output/kpi_upload_final_20260618/Direktorat SDM dan Umum - Group Strategi SDM 06-18-2026 at 14.17 (2026 v1)/Direktorat SDM dan Umum - Group Strategi SDM 06-18-2026 at 14.17 (2026 v1).xlsx,output/kpi_upload_final_20260618/upload-ready/Direktorat SDM dan Umum - Group Strategi SDM 06-18-2026 at 14.17 (2026 v1).xlsx
READY,152,76,76,0,0,output/kpi_upload_final_20260618/Direktorat Teknik - Group Fasilitas Pelabuhan 06-18-2026 at 14.17 (2026 v1)/Direktorat Teknik - Group Fasilitas Pelabuhan 06-18-2026 at 14.17 (2026 v1).xlsx,output/kpi_upload_final_20260618/upload-ready/Direktorat Teknik - Group Fasilitas Pelabuhan 06-18-2026 at 14.17 (2026 v1).xlsx
READY,112,68,44,0,0,output/kpi_upload_final_20260618/Direktorat Teknik - Group Peralatan Pelabuhan 06-18-2026 at 14.17 (2026 v1)/Direktorat Teknik - Group Peralatan Pelabuhan 06-18-2026 at 14.17 (2026 v1).xlsx,output/kpi_upload_final_20260618/upload-ready/Direktorat Teknik - Group Peralatan Pelabuhan 06-18-2026 at 14.17 (2026 v1).xlsx
READY,213,146,67,0,0,output/kpi_upload_final_20260618/Direktorat Teknik - Pengendalian Proyek 06-18-2026 at 14.17 (2026 v1)/Direktorat Teknik - Pengendalian Proyek 06-18-2026 at 14.17 (2026 v1).xlsx,output/kpi_upload_final_20260618/upload-ready/Direktorat Teknik - Pengendalian Proyek 06-18-2026 at 14.17 (2026 v1).xlsx
READY,210,102,108,0,0,output/kpi_upload_final_20260618/Direktorat Utama - Group MonEv Strategi Perusahaan dan Inovasi 06-18-2026 at 14.17 (2026 v1)/Direktorat Utama - Group MonEv Strategi Perusahaan dan Inovasi 06-18-2026 at 14.17 (2026 v1).xlsx,output/kpi_upload_final_20260618/upload-ready/Direktorat Utama - Group MonEv Strategi Perusahaan dan Inovasi 06-18-2026 at 14.17 (2026 v1).xlsx
READY,260,110,150,0,0,output/kpi_upload_final_20260618/Direktorat Utama - Group SPI 06-18-2026 at 14.17 (2026 v1)/Direktorat Utama - Group SPI 06-18-2026 at 14.17 (2026 v1).xlsx,output/kpi_upload_final_20260618/upload-ready/Direktorat Utama - Group SPI 06-18-2026 at 14.17 (2026 v1).xlsx
READY,288,122,166,0,0,output/kpi_upload_final_20260618/Direktorat Utama - Group Sekretariat Perusahaan 06-18-2026 at 14.17 (2026 v1)/Direktorat Utama - Group Sekretariat Perusahaan 06-18-2026 at 14.17 (2026 v1).xlsx,output/kpi_upload_final_20260618/upload-ready/Direktorat Utama - Group Sekretariat Perusahaan 06-18-2026 at 14.17 (2026 v1).xlsx
